"concept_id","owner_kind","owner_path","owner_key","current_rendered_value","parameter_identity","source_object","source_object_sha256"
"valBICosLognormal","latex_macro","output/model-results.tex","valBICosLognormal","612.0","BIC: OS log-normal (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valAICdfsExponential","latex_macro","output/model-results.tex","valAICdfsExponential","1,022.7","AIC: DFS Exponential (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valBICdfsExponential","latex_macro","output/model-results.tex","valBICdfsExponential","1,026.8","BIC: DFS Exponential (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valAICosExponential","latex_macro","output/model-results.tex","valAICosExponential","620.2","AIC: OS Exponential (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valBICosExponential","latex_macro","output/model-results.tex","valBICosExponential","624.3","BIC: OS Exponential (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valAICdfsWeibull","latex_macro","output/model-results.tex","valAICdfsWeibull","1,000.0","AIC: DFS Weibull (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valBICdfsWeibull","latex_macro","output/model-results.tex","valBICdfsWeibull","1,008.2","BIC: DFS Weibull (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valAICosWeibull","latex_macro","output/model-results.tex","valAICosWeibull","608.4","AIC: OS Weibull (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valBICosWeibull","latex_macro","output/model-results.tex","valBICosWeibull","616.6","BIC: OS Weibull (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valAICdfsLognormal","latex_macro","output/model-results.tex","valAICdfsLognormal","986.6","AIC: DFS Lognormal (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valAICosLognormal","latex_macro","output/model-results.tex","valAICosLognormal","603.8","AIC: OS Lognormal (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valAICdfsLoglogistic","latex_macro","output/model-results.tex","valAICdfsLoglogistic","996.0","AIC: DFS Loglogistic (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valBICdfsLoglogistic","latex_macro","output/model-results.tex","valBICdfsLoglogistic","1,004.2","BIC: DFS Loglogistic (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valAICosLoglogistic","latex_macro","output/model-results.tex","valAICosLoglogistic","607.5","AIC: OS Loglogistic (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valBICosLoglogistic","latex_macro","output/model-results.tex","valBICosLoglogistic","615.7","BIC: OS Loglogistic (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valAICdfsGompertz","latex_macro","output/model-results.tex","valAICdfsGompertz","993.5","AIC: DFS Gompertz (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valBICdfsGompertz","latex_macro","output/model-results.tex","valBICdfsGompertz","1,001.7","BIC: DFS Gompertz (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valAICosGompertz","latex_macro","output/model-results.tex","valAICosGompertz","614.8","AIC: OS Gompertz (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valBICosGompertz","latex_macro","output/model-results.tex","valBICosGompertz","623.0","BIC: OS Gompertz (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valAICdfsGenGamma","latex_macro","output/model-results.tex","valAICdfsGenGamma","980.4","AIC: DFS GenGamma (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valAICosGenGamma","latex_macro","output/model-results.tex","valAICosGenGamma","603.6","AIC: OS GenGamma (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valBICosGenGamma","latex_macro","output/model-results.tex","valBICosGenGamma","615.9","BIC: OS GenGamma (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valLnormDfsMeanlog","latex_macro","output/model-results.tex","valLnormDfsMeanlog","3.0441","Selected log-normal meanlog, natural scale (DFS control arm)","data/processed/survival_fits_dfs_ctrl.rds","0fe81632efdb89b1feb877b08bb551a2b184af16067a6e3fdf2b447f09e508a1"
"valLnormDfsSdlog","latex_macro","output/model-results.tex","valLnormDfsSdlog","2.3307","Selected log-normal sdlog, natural scale (DFS control arm)","data/processed/survival_fits_dfs_ctrl.rds","0fe81632efdb89b1feb877b08bb551a2b184af16067a6e3fdf2b447f09e508a1"
"valLnormOsMeanlog","latex_macro","output/model-results.tex","valLnormOsMeanlog","3.1719","Selected log-normal meanlog, natural scale (OS control arm)","data/processed/survival_fits_os_ctrl.rds","4c6e4b9f7bbe762238054ba5ff04df895261d044c3b82b12b9100dad6f853813"
"valLnormOsSdlog","latex_macro","output/model-results.tex","valLnormOsSdlog","1.1981","Selected log-normal sdlog, natural scale (OS control arm)","data/processed/survival_fits_os_ctrl.rds","4c6e4b9f7bbe762238054ba5ff04df895261d044c3b82b12b9100dad6f853813"
"valCrossingCyclesControl","latex_macro","output/model-results.tex","valCrossingCyclesControl","153","Raw-fit crossing: control-arm monthly cycles with S_DFS > S_OS (pre-cap)","data/processed/survival_fits_dfs_ctrl.rds;data/processed/survival_fits_os_ctrl.rds","be38026ce27d7e8bef5461c2ed4c911f8c52db32845cdcfc7b75f3bafc18fc06"
"valCrossingStartYrControl","latex_macro","output/model-results.tex","valCrossingStartYrControl","27.33","Raw-fit crossing: control-arm first crossing time (years)","data/processed/survival_fits_dfs_ctrl.rds;data/processed/survival_fits_os_ctrl.rds","be38026ce27d7e8bef5461c2ed4c911f8c52db32845cdcfc7b75f3bafc18fc06"
"valCrossingCyclesExercise","latex_macro","output/model-results.tex","valCrossingCyclesExercise","30","Raw-fit crossing: exercise-arm monthly cycles with S_DFS > S_OS (pre-cap)","data/processed/survival_fits_dfs_ctrl.rds;data/processed/survival_fits_os_ctrl.rds","be38026ce27d7e8bef5461c2ed4c911f8c52db32845cdcfc7b75f3bafc18fc06"
"valCrossingStartYrExercise","latex_macro","output/model-results.tex","valCrossingStartYrExercise","37.58","Raw-fit crossing: exercise-arm first crossing time (years)","data/processed/survival_fits_dfs_ctrl.rds;data/processed/survival_fits_os_ctrl.rds","be38026ce27d7e8bef5461c2ed4c911f8c52db32845cdcfc7b75f3bafc18fc06"
"valCrossingQALYshareControlPct","latex_macro","output/model-results.tex","valCrossingQALYshareControlPct","3.35","Crossing-window share of control-arm total discounted QALYs (%)","data/processed/costs_qalys.rds","154274c55034bab11178a7865697141220af876baf92fda3fa7cc339f7a8cfe0"
"valCrossingIncrQALYsharePct","latex_macro","output/model-results.tex","valCrossingIncrQALYsharePct","6.77","Crossing-window share of discounted incremental QALYs (%)","data/processed/costs_qalys.rds","154274c55034bab11178a7865697141220af876baf92fda3fa7cc339f7a8cfe0"
"sevCohortAge","latex_macro","output/model-results.tex","sevCohortAge","61","Cohort age used for severity norm lookup (years)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"sevGenPopQALY","latex_macro","output/model-results.tex","sevGenPopQALY","20.8","General population remaining QALYs at cohort age (DMP New norm)","data/raw/dmp-eq5d5l-norms-current.csv","5230434e46c18d5c0241be90fd9af714d77ac590d6aa8e63a819cb64949fd38c"
"sevComparatorQALY","latex_macro","output/model-results.tex","sevComparatorQALY","15.89","Comparator (Standard Care) undiscounted QALYs (PA)","data/processed/costs_qalys.rds","154274c55034bab11178a7865697141220af876baf92fda3fa7cc339f7a8cfe0"
"sevAbsoluteShortfall","latex_macro","output/model-results.tex","sevAbsoluteShortfall","4.91","Absolute shortfall AS = QALYsA - PA (rounded 2 dp)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"sevMagnussenGroup","latex_macro","output/model-results.tex","sevMagnussenGroup","2","Magnussen severity group for the absolute shortfall","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"sevMagnussenWeight","latex_macro","output/model-results.tex","sevMagnussenWeight","1.4","Magnussen severity weight for the group","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"wtpOpportunityCost","latex_macro","output/model-results.tex","wtpOpportunityCost","275,000","DMP opportunity-cost benchmark (NOK/QALY)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"wtpSeverityReference","latex_macro","output/model-results.tex","wtpSeverityReference","385,000","Severity-weighted cost-effectiveness threshold (NOK/QALY)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"wtpThreshold","latex_macro","output/model-results.tex","wtpThreshold","385,000","Applicable cost-effectiveness threshold = severity-informed reference (NOK/QALY)","R/04-costs-qalys.R","9644d1e2decd3ee442cd613079f822b0bf4f4ed36236654a43db8dbd45b749f5"
"sevAbsoluteShortfallNorSeventyThree","latex_macro","output/model-results.tex","sevAbsoluteShortfallNorSeventyThree","1.02","Absolute shortfall AS at scenario norwegian_registry_age (rounded 2 dp)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"sevMagnussenGroupNorSeventyThree","latex_macro","output/model-results.tex","sevMagnussenGroupNorSeventyThree","1","Magnussen severity group at scenario norwegian_registry_age","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"wtpSeverityReferenceNorSeventyThree","latex_macro","output/model-results.tex","wtpSeverityReferenceNorSeventyThree","275,000","Severity-informed reference threshold at scenario norwegian_registry_age (NOK/QALY)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaICERNorSeventyThree","latex_macro","output/model-results.tex","ssaICERNorSeventyThree","−738,637","SSA ICER at Norwegian registry-age scenario norwegian_registry_age (NOK/QALY)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"sevAbsoluteShortfallNorSeventySix","latex_macro","output/model-results.tex","sevAbsoluteShortfallNorSeventySix","0.70","Absolute shortfall AS at scenario norwegian_registry_age_women_76 (rounded 2 dp)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"sevMagnussenGroupNorSeventySix","latex_macro","output/model-results.tex","sevMagnussenGroupNorSeventySix","1","Magnussen severity group at scenario norwegian_registry_age_women_76","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"wtpSeverityReferenceNorSeventySix","latex_macro","output/model-results.tex","wtpSeverityReferenceNorSeventySix","275,000","Severity-informed reference threshold at scenario norwegian_registry_age_women_76 (NOK/QALY)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaICERNorSeventySix","latex_macro","output/model-results.tex","ssaICERNorSeventySix","−1,153,335","SSA ICER at Norwegian registry-age scenario norwegian_registry_age_women_76 (NOK/QALY)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"psaProbCEopportunityCost","latex_macro","output/model-results.tex","psaProbCEopportunityCost","97.6","P(CE) at opportunity-cost benchmark (275K) (%)","data/processed/psa_results.rds","ddce9e4d107b7cb82ad7b9c4ce796449c7666289a9f9e90231b444132a3a0e45"
"psaProbCEseverityReference","latex_macro","output/model-results.tex","psaProbCEseverityReference","99.3","P(CE) at severity-informed reference (385K) (%)","data/processed/psa_results.rds","ddce9e4d107b7cb82ad7b9c4ce796449c7666289a9f9e90231b444132a3a0e45"
