"concept_id","owner_kind","owner_path","owner_key","current_rendered_value","parameter_identity","source_object","source_object_sha256"
"psaProbCEcatFour","latex_macro","output/model-results.tex","psaProbCEcatFour","99.7","P(CE) at severity category 4 (605K) (%)","data/processed/psa_results.rds","ddce9e4d107b7cb82ad7b9c4ce796449c7666289a9f9e90231b444132a3a0e45"
"psaProbCEcatFive","latex_macro","output/model-results.tex","psaProbCEcatFive","99.8","P(CE) at severity category 5 (715K) (%)","data/processed/psa_results.rds","ddce9e4d107b7cb82ad7b9c4ce796449c7666289a9f9e90231b444132a3a0e45"
"psaProbCEcatSix","latex_macro","output/model-results.tex","psaProbCEcatSix","99.7","P(CE) at severity category 6 (825K) (%)","data/processed/psa_results.rds","ddce9e4d107b7cb82ad7b9c4ce796449c7666289a9f9e90231b444132a3a0e45"
"evpiPerPatient","latex_macro","output/model-results.tex","evpiPerPatient","372","Per-patient EVPI at applicable threshold (NOK)","data/processed/evppi_results.rds","068cfb4eddf49c073e368ebf05508850872958174f3d614e284a0e52204a3bd1"
"evpiOpportunityCost","latex_macro","output/model-results.tex","evpiOpportunityCost","1,385","Per-patient EVPI at the quantified opportunity-cost threshold (NOK)","data/processed/psa_results.rds","ddce9e4d107b7cb82ad7b9c4ce796449c7666289a9f9e90231b444132a3a0e45"
"evpiPopFiveYr","latex_macro","output/model-results.tex","evpiPopFiveYr","1.4","Population EVPI 5-year horizon (million NOK)","data/processed/pop_evpi_horizon.rds","3af6cd802456116039a5644e650761f59094a535beded71c2200861d93740869"
"evpiPopTenYr","latex_macro","output/model-results.tex","evpiPopTenYr","2.5","Population EVPI 10-year horizon (million NOK)","data/processed/pop_evpi_horizon.rds","3af6cd802456116039a5644e650761f59094a535beded71c2200861d93740869"
"evpiPopTwentyYr","latex_macro","output/model-results.tex","evpiPopTwentyYr","4.3","Population EVPI 20-year horizon (million NOK)","data/processed/pop_evpi_horizon.rds","3af6cd802456116039a5644e650761f59094a535beded71c2200861d93740869"
"evppiHRos","latex_macro","output/model-results.tex","evppiHRos","2","Individual EVPPI HR OS (NOK)","data/processed/evppi_results.rds","068cfb4eddf49c073e368ebf05508850872958174f3d614e284a0e52204a3bd1"
"evppiHRdfs","latex_macro","output/model-results.tex","evppiHRdfs","164","Individual EVPPI HR DFS (NOK)","data/processed/evppi_results.rds","068cfb4eddf49c073e368ebf05508850872958174f3d614e284a0e52204a3bd1"
"evppiJointHR","latex_macro","output/model-results.tex","evppiJointHR","227","Joint EVPPI HR OS + HR DFS (NOK)","data/processed/evppi_results.rds","068cfb4eddf49c073e368ebf05508850872958174f3d614e284a0e52204a3bd1"
"evppiJointHRpct","latex_macro","output/model-results.tex","evppiJointHRpct","61.0","Joint EVPPI as percentage of EVPI (%)","data/processed/evppi_results.rds","068cfb4eddf49c073e368ebf05508850872958174f3d614e284a0e52204a3bd1"
"evppiNaiveSum","latex_macro","output/model-results.tex","evppiNaiveSum","166","Naive sum of individual EVPPIs HR OS + HR DFS (NOK)","data/processed/evppi_results.rds","068cfb4eddf49c073e368ebf05508850872958174f3d614e284a0e52204a3bd1"
"rhoSensitivityIcerMin","latex_macro","output/model-results.tex","rhoSensitivityIcerMin","30,311","Positive-rho sensitivity ICER minimum","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"rhoSensitivityIcerMax","latex_macro","output/model-results.tex","rhoSensitivityIcerMax","31,837","Positive-rho sensitivity ICER maximum","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"rhoSensitivityPceMin","latex_macro","output/model-results.tex","rhoSensitivityPceMin","98.2","Positive-rho sensitivity P(CE), percent minimum","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"rhoSensitivityPceMax","latex_macro","output/model-results.tex","rhoSensitivityPceMax","98.9","Positive-rho sensitivity P(CE), percent maximum","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"rhoSensitivityEvpiMin","latex_macro","output/model-results.tex","rhoSensitivityEvpiMin","564","Positive-rho sensitivity EVPI minimum","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"rhoSensitivityEvpiMax","latex_macro","output/model-results.tex","rhoSensitivityEvpiMax","1,161","Positive-rho sensitivity EVPI maximum","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"rhoSensitivityJointEvppiMin","latex_macro","output/model-results.tex","rhoSensitivityJointEvppiMin","471","Positive-rho sensitivity joint-HR EVPPI minimum","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"rhoSensitivityJointEvppiMax","latex_macro","output/model-results.tex","rhoSensitivityJointEvppiMax","1,148","Positive-rho sensitivity joint-HR EVPPI maximum","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"rhoSensitivityCeCorrMin","latex_macro","output/model-results.tex","rhoSensitivityCeCorrMin","0.054","Positive-rho sensitivity incremental cost-QALY correlation minimum","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"rhoSensitivityCeCorrMax","latex_macro","output/model-results.tex","rhoSensitivityCeCorrMax","0.415","Positive-rho sensitivity incremental cost-QALY correlation maximum","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"rhoSensitivityConvergenceMaxN","latex_macro","output/model-results.tex","rhoSensitivityConvergenceMaxN","100","Maximum primary convergence N across positive-rho rows","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"mappingSensitivityIcer","latex_macro","output/model-results.tex","mappingSensitivityIcer","33,088","Mapping-RMSE quadrature sensitivity ICER","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"mappingSensitivityPce","latex_macro","output/model-results.tex","mappingSensitivityPce","99.3","Mapping-RMSE quadrature sensitivity P(CE), percent","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"mappingSensitivityEvpi","latex_macro","output/model-results.tex","mappingSensitivityEvpi","372","Mapping-RMSE quadrature sensitivity EVPI","data/processed/psa_specification_sensitivity.rds","0cef0ab1e2c7b33a39b849e0f8ac35ec8d62f3fa6b21c2b96c47ddfa6810821b"
"costSurveillanceAnnual","latex_macro","output/model-results.tex","costSurveillanceAnnual","5,802","Annual surveillance cost, years 0-5","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"costSurveillanceFiveYear","latex_macro","output/model-results.tex","costSurveillanceFiveYear","29,008.80","Five-year surveillance bundle, undiscounted","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"costProgressedAnnual","latex_macro","output/model-results.tex","costProgressedAnnual","198,319","Annual progressed-state cost","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"costProgressedEURsource","latex_macro","output/model-results.tex","costProgressedEURsource","17,779","Progressed-state cost in the source price basis (EUR, 2011 prices)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"paramCostTerminal","latex_macro","output/model-results.tex","paramCostTerminal","164,687","Terminal care cost (NOK)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"paramSessionsAdherence","latex_macro","output/model-results.tex","paramSessionsAdherence","28.92","Adherence-adjusted supervised exercise contacts over programme","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"paramCostExerciseAnnual","latex_macro","output/model-results.tex","paramCostExerciseAnnual","21,244","Annual exercise programme cost, exercise visits plus behavioural support (NOK/year)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"paramBehaviourContacts","latex_macro","output/model-results.tex","paramBehaviourContacts","33.30","Adherence-adjusted behavioural-support contacts over programme","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
